Date and Ship To Address	Item Number	Pick Type	Each per pallet	Each per case	Sum of Total quantity requested for order	Pallet Picks	Case Picks	Each Picks
03/02/2022 address 1	506608	SBO	11200	100	872	0	8	72
03/02/2022 address 1	508012	SBO	6000	100	62	0	0	62
03/02/2022 address 1	510088	SBO	2560	80	312	0	3	72
03/02/2022 address 1	511171	SRL	360	12	437	1	6	5
03/02/2022 address 1	513473	SBO	4800	200	53	0	0	53
03/02/2022 address 1	514902	SBO	14400	100	62	0	0	62
03/02/2022 address 1	518636	SBO	4000	100	652	0	6	52
03/02/2022 address 1	519111	SBO	40320	2240	952	0	0	952
03/02/2022 address 1	529027	SPN	108	0	51	0	0	51
03/02/2022 address 1	531539	SBO	54000	300	615	0	2	15
03/02/2022 address 1	531766	SBO	864	24	1512	1	27	0
03/02/2022 address 1	531967	SFS	230400	300	1317	0	4	117
03/02/2022 address 1	532173	SBO	880	10	51	0	5	1
03/02/2022 address 1	532458	SBO	4	0	3	0	0	3
03/02/2022 address 1	534278	SBO	3000	50	51	0	1	1
03/02/2022 address 1	537501	SBO	120	10	1	0	0	1
03/02/2022 address 1	538352	SLP	25	0	18	0	0	18
03/02/2022 address 1	539727	SLP	20	0	439	21	0	19
03/02/2022 address 2	506608	SBO	11200	100	240	0	2	40
03/02/2022 address 2	508012	SBO	6000	100	23	0	0	23
03/02/2022 address 2	510088	SBO	2560	80	56	0	0	56
03/02/2022 address 2	511171	SRL	360	12	86	0	7	2
03/02/2022 address 2	513473	SBO	4800	200	23	0	0	23
03/02/2022 address 2	514902	SBO	14400	100	23	0	0	23
03/02/2022 address 2	518636	SBO	4000	100	124	0	1	24
03/02/2022 address 2	519111	SBO	40320	2240	184	0	0	184
03/02/2022 address 2	529027	SPN	108	0	5	0	0	5
03/02/2022 address 2	530205	SLP	23	0	4	0	0	4
03/02/2022 address 2	530206	SLP	23	0	14	0	0	14
03/02/2022 address 2	532173	SBO	880	10	5	0	0	5
03/02/2022 address 2	534278	SBO	3000	50	5	0	0	5
03/02/2022 address 2	538341	SLP	20	0	74	3	0	14
03/04/2022 address 3	506608	SBO	11200	100	48	0	0	48
03/04/2022 address 3	508012	SBO	6000	100	5	0	0	5
03/04/2022 address 3	510088	SBO	2560	80	12	0	0	12
03/04/2022 address 3	511171	SRL	360	12	18	0	1	6
03/04/2022 address 3	513473	SBO	4800	200	5	0	0	5
03/04/2022 address 3	514902	SBO	14400	100	5	0	0	5
03/04/2022 address 3	518636	SBO	4000	100	24	0	0	24
03/04/2022 address 3	519111	SBO	40320	2240	40	0	0	40
03/04/2022 address 3	534983	SLB	8	0	2	0	0	2
03/04/2022 address 3	536630	SRL	3	0	1	0	0	1
03/04/2022 address 3	537682	SSN	10	0	1	0	0	1
03/04/2022 address 3	538341	SLP	20	0	27	1	0	7
03/04/2022 address 1	530167	SBO	864	24	200	0	8	8
03/04/2022 address 2	506608	SBO	11200	100	152	0	1	52
03/04/2022 address 2	508012	SBO	6000	100	14	0	0	14
03/04/2022 address 2	510088	SBO	2560	80	36	0	0	36
03/04/2022 address 2	511171	SRL	360	12	54	0	4	6
03/04/2022 address 2	513473	SBO	4800	200	14	0	0	14
03/04/2022 address 2	514902	SBO	14400	100	14	0	0	14
03/04/2022 address 2	518636	SBO	4000	100	68	0	0	68
03/04/2022 address 2	519111	SBO	40320	2240	112	0	0	112
03/04/2022 address 2	529027	SPN	108	0	24	0	0	24
03/04/2022 address 2	531539	SBO	54000	300	1000	0	3	100
03/04/2022 address 2	532173	SBO	880	10	24	0	2	4
03/04/2022 address 2	532458	SBO	4	0	1	0	0	1
03/04/2022 address 2	534278	SBO	3000	50	74	0	1	24
03/04/2022 address 2	538043	SLC	23	0	1	0	0	1
03/04/2022 address 2	538341	SLP	20	0	80	4	0	0
03/04/2022 address 4	506608	SBO	11200	100	304	0	3	4
03/04/2022 address 4	508012	SBO	6000	100	28	0	0	28
03/04/2022 address 4	510088	SBO	2560	80	72	0	0	72
03/04/2022 address 4	511171	SRL	360	12	108	0	9	0
03/04/2022 address 4	513473	SBO	4800	200	28	0	0	28
03/04/2022 address 4	514902	SBO	14400	100	28	0	0	28
03/04/2022 address 4	518636	SBO	4000	100	136	0	1	36
03/04/2022 address 4	519111	SBO	40320	2240	224	0	0	224
03/04/2022 address 4	529027	SPN	108	0	8	0	0	8
03/04/2022 address 4	532173	SBO	880	10	8	0	0	8
03/04/2022 address 4	534278	SBO	3000	50	8	0	0	8
03/04/2022 address 4	538341	SLP	20	0	160	8	0	0
03/07/2022 address 5	506608	SBO	11200	100	172	0	1	72
03/07/2022 address 5	508012	SBO	6000	100	16	0	0	16
03/07/2022 address 5	510088	SBO	2560	80	44	0	0	44
03/07/2022 address 5	511171	SRL	360	12	62	0	5	2
03/07/2022 address 5	513473	SBO	4800	200	16	0	0	16
03/07/2022 address 5	514902	SBO	14400	100	16	0	0	16
03/07/2022 address 5	516990	SBO	2160	80	3	0	0	3
03/07/2022 address 5	518636	SBO	4000	100	92	0	0	92
03/07/2022 address 5	519111	SBO	40320	2240	128	0	0	128
03/07/2022 address 5	529027	SPN	108	0	4	0	0	4
03/07/2022 address 5	532173	SBO	880	10	4	0	0	4
03/07/2022 address 5	534278	SBO	3000	50	1	0	0	1
03/07/2022 address 5	538342	SLP	20	0	85	4	0	5
03/07/2022 address 1	506608	SBO	11200	100	32	0	0	32
03/07/2022 address 1	508012	SBO	6000	100	3	0	0	3
03/07/2022 address 1	510088	SBO	2560	80	8	0	0	8
03/07/2022 address 1	511171	SRL	360	12	12	0	1	0
03/07/2022 address 1	513473	SBO	4800	200	3	0	0	3
03/07/2022 address 1	514902	SBO	14400	100	3	0	0	3
03/07/2022 address 1	518636	SBO	4000	100	20	0	0	20
03/07/2022 address 1	519111	SBO	40320	2240	24	0	0	24
03/07/2022 address 1	529027	SPN	108	0	1	0	0	1
03/07/2022 address 1	532173	SBO	880	10	1	0	0	1
03/07/2022 address 1	534278	SBO	3000	50	1	0	0	1
03/07/2022 address 1	538352	SLP	25	0	18	0	0	18
03/07/2022 address 6	506608	SBO	11200	100	68	0	0	68
03/07/2022 address 6	508012	SBO	6000	100	6	0	0	6
03/07/2022 address 6	510088	SBO	2560	80	16	0	0	16
03/07/2022 address 6	511171	SRL	360	12	24	0	2	0
03/07/2022 address 6	513473	SBO	4800	200	6	0	0	6
03/07/2022 address 6	514902	SBO	14400	100	6	0	0	6
03/07/2022 address 6	518636	SBO	4000	100	32	0	0	32
03/07/2022 address 6	519111	SBO	40320	2240	48	0	0	48
03/07/2022 address 6	529027	SPN	108	0	1	0	0	1
03/07/2022 address 6	532173	SBO	880	10	1	0	0	1
03/07/2022 address 6	534278	SBO	3000	50	1	0	0	1
03/07/2022 address 6	538341	SLP	20	0	32	1	0	12
03/08/2022 address 7	506608	SBO	11200	100	84	0	0	84
03/08/2022 address 7	508012	SBO	6000	100	8	0	0	8
03/08/2022 address 7	510088	SBO	2560	80	20	0	0	20
03/08/2022 address 7	511171	SRL	360	12	30	0	2	6
03/08/2022 address 7	513473	SBO	4800	200	8	0	0	8
03/08/2022 address 7	514902	SBO	14400	100	8	0	0	8
03/08/2022 address 7	518636	SBO	4000	100	40	0	0	40
03/08/2022 address 7	519111	SBO	40320	2240	64	0	0	64
03/08/2022 address 7	529027	SPN	108	0	1	0	0	1
03/08/2022 address 7	530184	SLP	20	0	44	2	0	4
03/08/2022 address 7	532173	SBO	880	10	1	0	0	1
03/08/2022 address 7	534278	SBO	3000	50	1	0	0	1
03/08/2022 address 5	506608	SBO	11200	100	140	0	1	40
03/08/2022 address 5	508012	SBO	6000	100	13	0	0	13
03/08/2022 address 5	510088	SBO	2560	80	32	0	0	32
03/08/2022 address 5	511171	SRL	360	12	50	0	4	2
03/08/2022 address 5	513473	SBO	4800	200	13	0	0	13
03/08/2022 address 5	514902	SBO	14400	100	13	0	0	13
03/08/2022 address 5	518636	SBO	4000	100	68	0	0	68
03/08/2022 address 5	519111	SBO	40320	2240	104	0	0	104
03/08/2022 address 5	529027	SPN	108	0	2	0	0	2
